"region1","gdp_per_capita","co2_per_capita","co2"
"Africa",5924.99270959487,1.01421553824311,1430280.639
"Developed",54571.494009962,9.75434004866339,12960414.835
"Developing Asia and Oceania",14828.5354425307,4.47288692997204,19563877.493
"Latin America and the Caribbean",19004.1458454768,2.62995037681629,1620132.578
