"region2","year","co2","population","gdp","gdp_per_capita","co2_per_capita","accumulated_co2"
"Africa",1972,314586395,286290989.666667,443085.403,1547.00367221869,1.09788769123461,613241832.333333
"Africa",1973,338645755,293723534.333333,464475.02,1580.7338248132,1.15215067123745,951887587.333333
"Africa",1974,356947836.333333,301462234,491625.588333333,1629.92813883015,1.18358574404071,1308835423.66667
"Africa",1975,368655719.666667,309444908.333333,513828.996666667,1659.90655793853,1.1915997839762,1677491143.33333
"Africa",1976,383149599.333333,317912782.333333,541210.254666667,1701.94399870281,1.20485957370593,2060640742.66667
"Africa",1977,398704802,326792907,564968.076666667,1727.99322908263,1.21936306841699,2459345544.66667
"Africa",1978,423647196.666667,336065012.666667,589330.948666667,1753.46885167964,1.26010142317365,2882992741.33333
"Africa",1979,449436149.333333,345796420.666667,608762.083666667,1760.55075764112,1.29866147252752,3332428890.66667
"Africa",1980,482924283.333333,356046897.333333,627471.693666667,1762.14558307103,1.35514551987436,3815353174
"Africa",1981,511655840.666667,366614561.333333,642293.47,1752.28850904104,1.39505720420207,4327009014.66667
"Africa",1982,536073056.666667,377352540,652868.145666667,1730.86938031711,1.42046666506325,4863082071.33333
"Africa",1983,555713064.666667,388220948.666667,654852.104333333,1687.57525226438,1.43111123250611,5418795136
"Africa",1984,588854150,399314789,663909.948,1663.02868467585,1.47363410882373,6007649286
"Africa",1985,619257023.333333,410732387,678944.226,1652.81167039281,1.50691275834031,6626906309.33333
"Africa",1986,650573022.666667,422493719,695508.559333333,1646.45854217819,1.5397885743168,7277479332
"Africa",1987,663074985.333333,434604315,708267.533,1630.26060478271,1.52599784465383,7940554317.33333
"Africa",1988,681498630,446882865.666667,724417.064333333,1620.93397910691,1.52516676508632,8622052947.33333
"Africa",1989,682968663.333333,459257062.666667,748411.535333333,1629.19892542689,1.48770818401177,9305021610.66667
"Africa",1990,672525406,472250989.333333,779252.571,1649.81334637912,1.42610408742029,9977547016.66667
"Africa",1991,661853348,485622787,807387.135666667,1662.34432360968,1.36378334690531,10639400364.6667
"Africa",1992,654233709.333333,516246143,834757.295,1621.31279599992,1.27232425973132,11293634074
"Africa",1993,672410528,546819637.666667,851820.142333333,1562.74771702693,1.23418678309632,11966044602
"Africa",1994,708079420,577941375.333333,865769.654,1498.39965171561,1.2238954189425,12674124022
"Africa",1995,766369545.333333,592272404.333333,879476.684,1484.94866950038,1.29259521831598,13440493567.3333
"Africa",1996,819989892.666667,607173169,909043.430333333,1496.81150885765,1.35001167163908,14260483460
"Africa",1997,852737710,622312123.666667,943596.377333333,1515.83267332795,1.37022332709078,15113221170
"Africa",1998,875147175.333333,638015437.666667,979908.020333333,1535.7001664658,1.37169141080764,15988368345.3333
"Africa",1999,884954067.333333,653698982.333333,1010122.32533333,1545.12158885185,1.35417523334905,16873322412.6667
"Africa",2000,897617220,669475624.333333,1042992.64933333,1557.68359856357,1.34107381665925,17770939632.6667
"Africa",2001,899268118,685631252.333333,1081092.03566667,1576.39749010816,1.31189303433896,18670207750.6667
"Africa",2002,897452694,702305869,1131050.69966667,1609.85502134554,1.27876542872084,19567660444.6667
"Africa",2003,915733147.333333,719560226.666667,1187857.62466667,1650.04017116325,1.27237373950354,20483393592
"Africa",2004,955322778.666667,737382773.333333,1254975,1701.10231461068,1.29451157878275,21438716370.6667
"Africa",2005,1008060332,755714276,1327451.841,1755.56483560375,1.33371255488325,22446776702.6667
"Africa",2006,1040160895.33333,774528775.666667,1407519.72233333,1816.24623488965,1.34302395139692,23486937598
"Africa",2007,1064692582.66667,793870984.666667,1493588.61866667,1880.32758770943,1.34110012269571,24551630180.6667
"Africa",2008,1100826282,813835792.333333,1580588.31833333,1941.14173916231,1.3523796572731,25652456462.6667
"Africa",2009,1127058594.66667,834495675.666667,1660182.835,1988.82086334178,1.35065095366896,26779515057.3333
"Africa",2010,1157095214,855841607,1742093.70733333,2034.80765977625,1.35219993273335,27936610271.3333
"Africa",2011,1182799222.66667,877697422.333333,1807541.699,2058.99111378633,1.34743200174697,29119409494
"Africa",2012,1213186339.33333,911730596,1914508.72466667,2098.86166555594,1.33168046105017,30332595833.3333
"Africa",2013,1232382362.66667,946613558.333333,2012573.20266667,2124.66899943283,1.30334901544723,31564978196
"Africa",2014,1264776283.33333,982537165.333333,2125616.22866667,2163.00763141125,1.28707985270277,32829754479.3333
"Africa",2015,1285083813.33333,1007778483.33333,2199288.217,2182.01138242508,1.27525014815332,34114838292.6667
"Africa",2016,1314514636.66667,1033450368.66667,2261988.858,2188.807805781,1.27242244803628,35429352929.3333
"Africa",2017,1322078100,1059432523,2324700.528,2194.24589475993,1.24805321063724,36751431029.3333
"Africa",2018,1333562400,1085762024.66667,2389835.633,2200.78290982673,1.22871121831258,38084993429.3333
"Africa",2019,1366523356.66667,1112505699,2461247.07033333,2212.23306757634,1.22819156438039,39451516786
"Africa",2020,1361164006.66667,1139615073.66667,2483476.08566667,2180.10781125137,1.19487979517851,40812680792.6667
"Africa",2021,1385331650,1166841083.33333,2524551.661,2163.95218910653,1.18786434782642,42198012442.6667
"Africa",2022,1370654163.33333,1194088043.33333,2574617.31266667,2155.49196467965,1.14789002974497,43568666606
"Developing America",1972,526846652.666667,288299492.333333,1389161.09266667,4815.40943301334,1.82666862970343,1036154032.66667
"Developing America",1973,561179498.666667,295395404,1488077.93466667,5033.66878215273,1.89842094239435,1597333531.33333
"Developing America",1974,598305343.333333,302602021.333333,1593616.625,5262.52680348654,1.97569584737971,2195638874.66667
"Developing America",1975,630371026.666667,309912203.666667,1689089.32433333,5448.02676106773,2.0336214365153,2826009901.33333
"Developing America",1976,656264982.666667,317306424,1779156.838,5604.96275525961,2.06795138434469,3482274884
"Developing America",1977,680688562.666667,324807124.333333,1866425.72666667,5743.6184437056,2.09493015952824,4162963446.66667
"Developing America",1978,720398032,332455542.333333,1959393.83066667,5891.75703782301,2.16564788552482,4883361478.66667
"Developing America",1979,767226338,340257643,2060393.335,6052.79586226199,2.25315496420237,5650587816.66667
"Developing America",1980,817607420.666667,348151690,2172274.65766667,6236.06505210625,2.34716883069629,6468195237.33333
"Developing America",1981,847382795.333333,356707089.666667,2266261.34033333,6352.40922514099,2.37574369421243,7315578032.66667
"Developing America",1982,866864138,365222562.666667,2312844.585,6334.82272217468,2.37410476047352,8182442170.66667
"Developing America",1983,860514748,373746657.333333,2299564.83566667,6155.82633572363,2.30333552915712,9042956918.66667
"Developing America",1984,857765293.333333,381660828.666667,2303626.977,6037.09303378667,2.24867016441162,9900722212
"Developing America",1985,855814453.333333,389635114.333333,2334102.24433333,5989.60812926172,2.19653952385625,10756536665.3333
"Developing America",1986,876509564,397617694,2413540.80833333,6068.97050813537,2.20404271301905,11633046229.3333
"Developing America",1987,910470985.333333,405589110,2493034.029,6145.48609899222,2.24414438850544,12543517214.6667
"Developing America",1988,943676740,413570776.333333,2557556.66,6184.05044435143,2.28128908040829,13487193954.6667
"Developing America",1989,972953100.666667,421576831,2599320.54533333,6166.51991189217,2.30780710679043,14460147055.3333
"Developing America",1990,990176584,429653248,2616649.97466667,6091.12938106091,2.304713630132,15450323639.3333
"Developing America",1991,1006788982.66667,437797553.333333,2659931.81133333,6075.63851755022,2.29978230222786,16457112622
"Developing America",1992,1021374101.33333,445973696,2722764.509,6104.08880078293,2.29024926622375,17478486723.3333
"Developing America",1993,1045753274,454126544.666667,2820272.95,6209.10300978738,2.30258322636599,18524239997.3333
"Developing America",1994,1070102451.33333,462239357.333333,2930160.70733333,6337.24001981493,2.3147662176108,19594342448.6667
"Developing America",1995,1096201174.66667,470325976.333333,3022364.126,6425.34141281522,2.33070006449409,20690543623.3333
"Developing America",1996,1125121710.66667,478359784.666667,3115866.727,6513.18078462107,2.35171010181898,21815665334
"Developing America",1997,1171968312,486320451.333333,3222280.108,6623.78692539607,2.40894300467409,22987633646
"Developing America",1998,1240110703.33333,494199839.333333,3347942.56366667,6772.79394676218,2.50806616676603,24227744349.3333
"Developing America",1999,1290807122,501997778,3434701.29266667,6842.26557967025,2.57094481645892,25518551471.3333
"Developing America",2000,1321097798,509687040.333333,3504410.772,6875.46361782344,2.59229150216838,26839649269.3333
"Developing America",2001,1323881406.66667,517236952,3550522.88866667,6864.04300301763,2.55975342954416,28163530676
"Developing America",2002,1340362508.66667,524634118,3594032.63233333,6851.37309007879,2.55486389151479,29503893184.6667
"Developing America",2003,1363541746.66667,531862039.666667,3619076.856,6804.87737342351,2.5634412595089,30867434931.3333
"Developing America",2004,1398401540.66667,538935708,3713810.24633333,6889.43085022772,2.59448510255377,32265836472
"Developing America",2005,1440753714,545879699.666667,3871397.45366667,7089.66296985071,2.63888242055933,33706590186
"Developing America",2006,1488341556.66667,552711463,4083821.21233333,7386.40591367088,2.69227736246667,35194931742.6667
