"region1","gdp_per_capita","co2_per_capita","co2"
"Africa",5971.58613077702,0.981173858665443,1416526.889
"Developed",55311.7628121467,9.36468966909584,12483361.719
"Developing Asia and Oceania",15475.4149710285,4.63893307691165,20416709.747
"Latin America and the Caribbean",19278.678809132,2.65063501136931,1644392.795
