Year,Commodity,Commodity Label,Index Base 2015,Index Base 2015 Footnote,Index Base 2015 Missing value,Growth rate (over previous period),Growth rate (over previous period) Footnote,Growth rate (over previous period) Missing value
2021,IN0001.24,"All groups excl. precious metals and fuels",152.54,,,33.901,,
2022,IN0001.20,"All groups",207.51,,,39.5213,,
2022,IN0001.01,"All food",145.86,,,12.3469,,
2022,IN0001.02,"Food",129.35,,,7.1932,,
2022,IN0001.03,"Tropical beverages",134.07,,,22.6287,,
2022,IN0001.04,"Vegetable oilseeds and oils",181.3,,,15.1623,,
2022,IN0001.06,"Agricultural raw materials",108.2,,,-1.6632,,
2022,IN0001.07,"Minerals, ores and metals",169.19,,,-3.0708,,
2022,IN0001.08,"Minerals, ores and non-precious metals",191.98,,,-4.7104,,
2022,IN0001.09,"Precious metals",151.19,,,-1.3635,,
2022,IN0001.10,"Fuels",239.79,,,63.9814,,
2022,IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected"
2022,IN0001.05,"Tropical beverages and food",130.51,,,10.7237,,
2022,IN0001.22,"All groups excl. fuels",155.19,,,1.5841,,
2022,IN0001.23,"All groups excl. precious metals",215.08,,,45.2164,,
2022,IN0001.24,"All groups excl. precious metals and fuels",156.99,,,2.9173,,
2023,IN0001.20,"All groups",158.44,,,-23.6471,,
2023,IN0001.01,"All food",133.46,,,-8.5013,,
2023,IN0001.02,"Food",129.84,,,0.3788,,
2023,IN0001.03,"Tropical beverages",123.31,,,-8.0257,,
2023,IN0001.04,"Vegetable oilseeds and oils",145.52,,,-19.7352,,
2023,IN0001.06,"Agricultural raw materials",101.23,,,-6.4418,,
2023,IN0001.07,"Minerals, ores and metals",171.02,,,1.0816,,
2023,IN0001.08,"Minerals, ores and non-precious metals",181.45,,,-5.4849,,
2023,IN0001.09,"Precious metals",162.78,,,7.6659,,
2023,IN0001.10,"Fuels",162.89,,,-32.0697,,
2023,IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected"
2023,IN0001.05,"Tropical beverages and food",128.23,,,-1.747,,
2023,IN0001.22,"All groups excl. fuels",151.22,,,-2.5582,,
2023,IN0001.23,"All groups excl. precious metals",157.86,,,-26.6041,,
2023,IN0001.24,"All groups excl. precious metals and fuels",146.01,,,-6.9941,,
